colorData=True																						
sizeData=t																						
luminanceData=false																						
	Mallet Head				Hand				Elbow				Elbow				Shoulder				Pitch	Vis
t	x	y			x	y			x	y			x	y			x	y				
2.41	3.29	4	-	-	3.28	3	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.44	3.31	3.92	-	-	3.28	2.98	size.25	"(0,0,255)"	3.42	4.58	"(0, 255, 0)"	size 3.5	3.42	4.58	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.48	3.32	3.85	-	-	3.28	2.96	size.25	"(0,0,255)"	3.42	4.58	"(0, 255, 0)"	size 3.5	3.42	4.58	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.51	3.32	3.77	-	-	3.28	2.92	size.25	"(0,0,255)"	3.42	4.58	"(0, 255, 0)"	size 3.5	3.42	4.58	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.54	3.33	3.71	-	-	3.28	2.9	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.57	3.35	3.63	-	-	3.28	2.88	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.61	3.38	3.56	-	-	3.28	2.85	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.64	3.4	3.48	-	-	3.29	2.83	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.67	3.42	3.42	-	-	3.31	2.83	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.71	3.44	3.33	-	-	3.31	2.81	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.74	3.47	3.27	-	-	3.32	2.77	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.77	3.53	3.19	-	-	3.33	2.75	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.81	3.56	3.13	-	-	3.33	2.75	size.25	"(0,0,255)"	3.4	4.6	"(0, 255, 0)"	size 3.5	3.4	4.6	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.84	3.58	3.08	-	-	3.35	2.73	size.25	"(0,0,255)"	3.4	4.63	"(0, 255, 0)"	size 3.5	3.4	4.63	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.87	3.61	3.04	-	-	3.35	2.73	size.25	"(0,0,255)"	3.4	4.63	"(0, 255, 0)"	size 3.5	3.4	4.63	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.9	3.64	3	-	-	3.36	2.71	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	3.4	4.65	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
